filepath,class_label,width,height
images\ASC-US\ASC-US_1.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_10.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_100.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_101.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_102.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_103.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_104.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_105.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_106.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_107.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_108.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_109.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_11.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_110.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_111.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_112.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_113.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_114.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_115.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_116.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_117.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_118.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_119.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_12.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_120.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_121.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_122.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_123.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_124.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_125.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_126.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_127.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_128.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_129.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_13.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_130.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_131.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_132.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_133.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_134.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_135.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_136.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_137.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_138.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_139.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_14.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_140.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_141.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_142.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_143.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_144.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_145.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_146.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_147.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_148.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_149.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_15.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_150.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_151.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_152.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_153.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_154.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_155.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_156.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_157.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_158.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_159.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_16.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_160.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_161.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_162.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_163.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_164.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_165.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_166.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_167.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_168.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_169.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_17.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_170.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_171.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_172.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_173.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_174.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_175.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_176.jpg,ASC-US,2592,1944
images\ASC-US\ASC-US_177.jpg,ASC-US,2592,1944
