,precision,recall,f1-score,support
A,0.125,0.25,0.16666666666666666,4.0
AGC,0.18333333333333332,0.6666666666666666,0.2875816993464052,33.0
ASC-H,0.16080402010050251,0.6037735849056604,0.25396825396825395,53.0
ASC-US,0.4,0.22857142857142856,0.2909090909090909,140.0
HSIL,0.34523809523809523,0.5471698113207547,0.4233576642335766,106.0
LSIL,0.27835051546391754,0.30337078651685395,0.2903225806451613,89.0
NILM,0.8387096774193549,0.3194103194103194,0.4626334519572954,407.0
SC,0.3333333333333333,0.75,0.46153846153846156,4.0
accuracy,0.36483253588516745,0.36483253588516745,0.36483253588516745,0.36483253588516745
macro avg,0.33309612186106713,0.4586203246739604,0.32962223365811394,836.0
weighted avg,0.5683363864591676,0.36483253588516745,0.3889916792005261,836.0
