,precision,recall,f1-score,support
A,0.5,0.75,0.6,4.0
AGC,0.225,0.5454545454545454,0.3185840707964602,33.0
ASC-H,0.36666666666666664,0.41509433962264153,0.3893805309734513,53.0
ASC-US,0.4293785310734463,0.5241379310344828,0.4720496894409938,145.0
HSIL,0.5252525252525253,0.48598130841121495,0.5048543689320388,107.0
LSIL,0.46808510638297873,0.24444444444444444,0.32116788321167883,90.0
NILM,0.7671232876712328,0.6947890818858561,0.7291666666666666,403.0
SC,0.6,0.75,0.6666666666666666,4.0
accuracy,0.567342073897497,0.567342073897497,0.567342073897497,0.567342073897497
macro avg,0.4851882646308563,0.5512377063566481,0.5002337345859945,839.0
weighted avg,0.5971377652526557,0.567342073897497,0.5738295682299557,839.0
