,precision,recall,f1-score,support
A,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0
AGC,0.18333333333333332,0.6285714285714286,0.2838709677419355,35.0
ASC-H,0.24731182795698925,0.4791666666666667,0.3262411347517731,48.0
ASC-US,0.35964912280701755,0.2887323943661972,0.3203125,142.0
HSIL,0.3108108108108108,0.6388888888888888,0.41818181818181815,108.0
LSIL,0.3564356435643564,0.3870967741935484,0.3711340206185567,93.0
NILM,0.8493975903614458,0.3533834586466165,0.49911504424778763,399.0
SC,0.2857142857142857,0.5,0.36363636363636365,4.0
accuracy,0.40384615384615385,0.40384615384615385,0.40384615384615385,0.40384615384615385
macro avg,0.3518593545963077,0.49281328475000163,0.36447814781394605,832.0
weighted avg,0.5730685752764327,0.40384615384615385,0.4235095934250333,832.0
