resolution,split,class_label,count
128x128,train,A,8
128x128,train,AGC,108
128x128,train,ASC-H,171
128x128,train,ASC-US,470
128x128,train,HSIL,355
128x128,train,LSIL,292
128x128,train,NILM,1307
128x128,train,SC,10
128x128,val,A,2
128x128,val,AGC,33
128x128,val,ASC-H,51
128x128,val,ASC-US,145
128x128,val,HSIL,114
128x128,val,LSIL,88
128x128,val,NILM,399
128x128,val,SC,4
128x128,test,A,4
128x128,test,AGC,33
128x128,test,ASC-H,53
128x128,test,ASC-US,140
128x128,test,HSIL,106
128x128,test,LSIL,89
128x128,test,NILM,407
128x128,test,SC,4
224x224,train,A,9
224x224,train,AGC,106
224x224,train,ASC-H,173
224x224,train,ASC-US,472
224x224,train,HSIL,361
224x224,train,LSIL,289
224x224,train,NILM,1328
224x224,train,SC,10
224x224,val,A,2
224x224,val,AGC,32
224x224,val,ASC-H,51
224x224,val,ASC-US,144
224x224,val,HSIL,114
224x224,val,LSIL,88
224x224,val,NILM,403
224x224,val,SC,3
224x224,test,A,4
224x224,test,AGC,33
224x224,test,ASC-H,53
224x224,test,ASC-US,145
224x224,test,HSIL,107
224x224,test,LSIL,90
224x224,test,NILM,403
224x224,test,SC,4
32x32,train,A,8
32x32,train,AGC,105
32x32,train,ASC-H,164
32x32,train,ASC-US,467
32x32,train,HSIL,358
32x32,train,LSIL,289
32x32,train,NILM,1320
32x32,train,SC,7
32x32,val,A,2
32x32,val,AGC,29
32x32,val,ASC-H,48
32x32,val,ASC-US,146
32x32,val,HSIL,110
32x32,val,LSIL,89
32x32,val,NILM,369
32x32,val,SC,2
32x32,test,A,3
32x32,test,AGC,35
32x32,test,ASC-H,48
32x32,test,ASC-US,142
32x32,test,HSIL,108
32x32,test,LSIL,93
32x32,test,NILM,218
32x32,test,SC,2
64x64,train,A,9
64x64,train,AGC,109
64x64,train,ASC-H,160
64x64,train,ASC-US,441
64x64,train,HSIL,277
64x64,train,LSIL,223
64x64,train,NILM,1012
64x64,train,SC,7
64x64,val,A,2
64x64,val,AGC,32
64x64,val,ASC-H,48
64x64,val,ASC-US,78
64x64,val,HSIL,60
64x64,val,LSIL,48
64x64,val,NILM,217
64x64,val,SC,2
64x64,test,A,4
64x64,test,AGC,34
64x64,test,ASC-H,48
64x64,test,ASC-US,78
64x64,test,HSIL,60
64x64,test,LSIL,48
64x64,test,NILM,218
64x64,test,SC,2
