model,resolution,run,curve,auc
resnet50,224,1,A,0.9991017964071857
resnet50,224,1,AGC,0.8954432664110084
resnet50,224,1,ASC-H,0.8963464400595322
resnet50,224,1,ASC-US,0.7982758620689656
resnet50,224,1,HSIL,0.8841351309943313
resnet50,224,1,LSIL,0.849606883251743
resnet50,224,1,NILM,0.8697412752976529
resnet50,224,1,SC,1.0
resnet50,224,1,macro_average,0.8993144944202056
resnet50,224,1,micro_average,0.91520050849862
resnet50,224,1,weighted_average,0.8609954812328386
resnet50,128,1,A,0.8037860576923077
resnet50,128,1,AGC,0.8687308955054909
resnet50,128,1,ASC-H,0.8046097496325212
resnet50,128,1,ASC-US,0.7549055829228244
resnet50,128,1,HSIL,0.8339687257689324
resnet50,128,1,LSIL,0.7963915587443406
resnet50,128,1,NILM,0.8344587435496527
resnet50,128,1,SC,0.9974459134615385
resnet50,128,1,macro_average,0.8370630673612506
resnet50,128,1,micro_average,0.8677247503818266
resnet50,128,1,weighted_average,0.817115296723059
resnet50,64,1,A,0.9932113341204251
resnet50,64,1,AGC,0.9026387788897688
resnet50,64,1,ASC-H,0.7952340182648402
resnet50,64,1,ASC-US,0.74652676576314
resnet50,64,1,HSIL,0.8624781159316017
resnet50,64,1,LSIL,0.7769966418455249
resnet50,64,1,NILM,0.7863994736492912
resnet50,64,1,SC,0.43358913813459266
resnet50,64,1,macro_average,0.7874536938819028
resnet50,64,1,micro_average,0.8497992960517867
resnet50,64,1,weighted_average,0.7931226428428662
resnet50,32,1,A,0.9525532770406112
resnet50,32,1,AGC,0.8712314034773256
resnet50,32,1,ASC-H,0.7863520408163265
resnet50,32,1,ASC-US,0.7122678097570933
resnet50,32,1,HSIL,0.8099869551872315
resnet50,32,1,LSIL,0.7613819896110698
resnet50,32,1,NILM,0.775744210410553
resnet50,32,1,SC,0.8529589371980677
resnet50,32,1,macro_average,0.8156564650135099
resnet50,32,1,micro_average,0.82324879147295
resnet50,32,1,weighted_average,0.773387713694919
mobilenetv2,224,1,A,0.9967065868263474
mobilenetv2,224,1,AGC,0.9218362282878412
mobilenetv2,224,1,ASC-H,0.8530414326179845
mobilenetv2,224,1,ASC-US,0.7580393520818841
mobilenetv2,224,1,HSIL,0.8459220673101476
mobilenetv2,224,1,LSIL,0.7863076694852394
mobilenetv2,224,1,NILM,0.8302666924670475
mobilenetv2,224,1,SC,0.9964071856287425
mobilenetv2,224,1,macro_average,0.8738673532346443
mobilenetv2,224,1,micro_average,0.8984021543001883
mobilenetv2,224,1,weighted_average,0.821691038288466
mobilenetv2,128,1,A,0.8473557692307692
mobilenetv2,128,1,AGC,0.8203139741122306
mobilenetv2,128,1,ASC-H,0.6083520084821321
mobilenetv2,128,1,ASC-US,0.6128899835796388
mobilenetv2,128,1,HSIL,0.7296652881881623
mobilenetv2,128,1,LSIL,0.6896575064302153
mobilenetv2,128,1,NILM,0.6953660590024227
mobilenetv2,128,1,SC,0.8514122596153846
mobilenetv2,128,1,macro_average,0.7322927327606812
mobilenetv2,128,1,micro_average,0.7704657467941276
mobilenetv2,128,1,weighted_average,0.686185062255994
mobilenetv2,64,1,A,0.9707792207792207
mobilenetv2,64,1,AGC,0.7929116567067465
mobilenetv2,64,1,ASC-H,0.6709085720215856
mobilenetv2,64,1,ASC-US,0.5843000097153406
mobilenetv2,64,1,HSIL,0.6864942321989591
mobilenetv2,64,1,LSIL,0.6568477149948898
mobilenetv2,64,1,NILM,0.6678378707123427
mobilenetv2,64,1,SC,0.6883116883116883
mobilenetv2,64,1,macro_average,0.7151726964128423
mobilenetv2,64,1,micro_average,0.7403273203354949
mobilenetv2,64,1,weighted_average,0.6615113021872814
mobilenetv2,32,1,A,0.5729794933655006
mobilenetv2,32,1,AGC,0.6462089980283204
mobilenetv2,32,1,ASC-H,0.5033482142857143
mobilenetv2,32,1,ASC-US,0.517018779342723
mobilenetv2,32,1,HSIL,0.6264131880499284
mobilenetv2,32,1,LSIL,0.583002313501244
mobilenetv2,32,1,NILM,0.5428264657023621
mobilenetv2,32,1,SC,0.6947463768115942
mobilenetv2,32,1,macro_average,0.5862889228490629
mobilenetv2,32,1,micro_average,0.7611743349799239
mobilenetv2,32,1,weighted_average,0.5566733403256797
efficientnetb0,224,1,A,0.9949101796407186
efficientnetb0,224,1,AGC,0.8831491089555605
efficientnetb0,224,1,ASC-H,0.7796581688991311
efficientnetb0,224,1,ASC-US,0.7302842094802743
efficientnetb0,224,1,HSIL,0.8468030233389511
efficientnetb0,224,1,LSIL,0.7793057409879841
efficientnetb0,224,1,NILM,0.8375941903612811
efficientnetb0,224,1,SC,0.9601796407185629
efficientnetb0,224,1,macro_average,0.8517772711175151
efficientnetb0,224,1,micro_average,0.8797753684615989
efficientnetb0,224,1,weighted_average,0.8134365579321179
efficientnetb0,128,1,A,0.7659254807692308
efficientnetb0,128,1,AGC,0.8447299898109363
efficientnetb0,128,1,ASC-H,0.7154389262391865
efficientnetb0,128,1,ASC-US,0.6656403940886699
efficientnetb0,128,1,HSIL,0.7966076505556992
efficientnetb0,128,1,LSIL,0.701660574883805
efficientnetb0,128,1,NILM,0.769591587773406
efficientnetb0,128,1,SC,0.9947415865384616
efficientnetb0,128,1,macro_average,0.7822216044219457
efficientnetb0,128,1,micro_average,0.7611882577256539
efficientnetb0,128,1,weighted_average,0.7489696824682074
efficientnetb0,64,1,A,0.9988193624557261
efficientnetb0,64,1,AGC,0.9358305133558932
efficientnetb0,64,1,ASC-H,0.7686150892486509
efficientnetb0,64,1,ASC-US,0.7015544544836297
efficientnetb0,64,1,HSIL,0.7792407127611098
efficientnetb0,64,1,LSIL,0.7525551175354067
efficientnetb0,64,1,NILM,0.769011102019152
efficientnetb0,64,1,SC,0.6204250295159386
efficientnetb0,64,1,macro_average,0.7910770009704735
efficientnetb0,64,1,micro_average,0.8170977394397413
efficientnetb0,64,1,weighted_average,0.7640804051852114
efficientnetb0,32,1,A,0.9304382790510656
efficientnetb0,32,1,AGC,0.8008962179602079
efficientnetb0,32,1,ASC-H,0.7588754251700681
efficientnetb0,32,1,ASC-US,0.6225250051030823
efficientnetb0,32,1,HSIL,0.7251317270308982
efficientnetb0,32,1,LSIL,0.6591514252040682
efficientnetb0,32,1,NILM,0.7248432860442098
efficientnetb0,32,1,SC,0.8753019323671497
efficientnetb0,32,1,macro_average,0.7625207400381131
efficientnetb0,32,1,micro_average,0.7553573698687129
efficientnetb0,32,1,weighted_average,0.7067022133689724
